global_unique_identifier,species1_common,species2_common_orig,species2_predict,interaction,interaction_predict,species2_common_std,species2_predicted_common_std,species_comments,interaction_correct
URN:CornellLabOfOrnithology:EBIRD:OBS1874036027,American Crow,"eagle, red tail hawk","eagle, red tail hawk",mobbing,mobbing,"Bald Eagle, Red-tailed Hawk","Bald Eagle, Red-tailed Hawk",Have many around my land. They were chasing the eagle around and a red tail hawk,1
URN:CornellLabOfOrnithology:EBIRD:OBS1910184014,Cedar Waxwing,robins,robins,facilitation-mixed flocking,co-occur,American Robin,American Robin,They covered the top 1/3 of two very large trees. Flying back and forth to a crab apple tree. Robins were in a tree behind the house with more CEDW. Checked closely to see if there were any BOWA but didn't see any.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1910084046,Sanderling,purple sandpipers,purple sandpipers,facilitation-mixed flocking,facilitation-mixed flocking,Purple Sandpiper,Purple Sandpiper,hanging with two purple sandpipers among the rocks on the Lake Michigan side of the north arm of breakwall. Photos to come.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1919263240,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"White phase, mixed with Canada Geese. Black tipped wings . “Grin” on bill",1
URN:CornellLabOfOrnithology:EBIRD:OBS1630225242,Lesser Scaup,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,"Continuing-swimming with large flock of mallards- much smaller than the mallards, and dark, somewhat drab overall, with a darker head, with a lot of bright white around the outside of the base of the bill. I initially thought greater scaup, as the head seemed round to me, and there was a lot of white at the base of the bill. But after reviewing the photos of other birders, and consulting with them, I have changed my i.d. Special thanks to Isaac Smith.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1616448989,Snow Bunting,horned larks,horned larks,facilitation-mixed flocking,facilitation-mixed flocking,Horned Lark,Horned Lark,"Was able to definitively ID 2 in the flocks of Horned Larks. Probably a few more, but not many.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1895772131,Sharp-shinned Hawk,birds,no species,amensalism,no interaction,bird sp.,no species,"Small hawk. Similar to Cooper's but smaller, small ""parakeet-like"" beak. Also smaller, more rounded head than blocky looking Cooper's. Perched on tree branch near bird feeders. All other birds had vanished.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1637366185,Barred Owl,crows,crows,mobbing,mobbing,American Crow,American Crow,Owl is tucked into the top of red pine where the branches are the thickest. Surrounded by crows calling and swarming. The crows were doing this same behavior at 9:30 am but I couldn’t locate an owl or other cause of their attention.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1883435819,Purple Sandpiper,ring-billed seagull,ring-billed seagull,amensalism,amensalism,Ring-billed Gull,Ring-billed Gull,"Flushed up once by Ring-billed seagull on the south pier by the diagonal piece of wood on top of the rocks. Flew up one other time from rocks, otherwise stayed in the rocks not visible from the weather station to the north.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1641751469,Brown-headed Cowbird,red-winged blackbirds,red-winged blackbirds,facilitation-mixed flocking,facilitation-mixed flocking,Red-winged Blackbird,Red-winged Blackbird,Mixed flock with Red-Winged Blackbirds. Mixture of males and females with distinctive two-tone head and body. Picture taken.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1628217723,Fox Sparrow,no species,no species,no interaction,no interaction,no species,no species,"In the same tree; all had heavy sparrow bills, heavy streaking on white chest; grayish faces, reddish cast on back,rump, tail feathers……",1
URN:CornellLabOfOrnithology:EBIRD:OBS1902078691,Tundra Swan,trumpeters,trumpeters,facilitation-mixed flocking,facilitation-mixed flocking,Trumpeter Swan,Trumpeter Swan,Three where I could clearly see a yellow spot at the base of the black bill and eye more separate from bills. With Trumpeters.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1628253848,Bald Eagle,red tailed hawk,"immature eagle, red tailed hawk",co-occur,co-occur,Red-tailed Hawk,Red-tailed Hawk,Mature eagle being followed directly behind by an immature eagle as the red tailed hawk watched,1
URN:CornellLabOfOrnithology:EBIRD:OBS1896245152,Greater White-fronted Goose,canadian geese,canadian geese,facilitation-mixed flocking,co-occur,Canada Goose,Canada Goose,Cont. Standing on ice with group of Canadian geese. Orange feet and white at base of beak. Horizontal white line on side.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1920706432,Iceland Gull,"herg, rbgu","herg, rbgu",facilitation-mixed flocking,co-occur,"American Herring Gull, Ring-billed Gull","American Herring Gull, Ring-billed Gull","Very pale Kumlien’s type. Immature with black bill. Slightly smaller than nearby HERG, larger than RBGU. Resting on the Elberta pier with the other gulls. Pics.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1881530434,Greater Scaup,lesc,lesc,facilitation-mixed flocking,facilitation-mixed flocking,Lesser Scaup,Lesser Scaup,Seen in flight together with single LESC; distinguished by size and more extensive white in wing.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1870131848,Greater White-fronted Goose,cang,cang,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Continuing, seen in complex with CANG. Dark brown head and neck, large orange bill and vertical white stripe in front of eyes. Black spots on belly.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1605558190,Bald Eagle,mallards,mallards,predation,predation,Mallard,Mallard,Swooped down on Mallards.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1892029446,American Crow,red tailed hawk,red tailed hawk,mobbing,mobbing,Red-tailed Hawk,Red-tailed Hawk,Harassing Red tailed Hawk,1
URN:CornellLabOfOrnithology:EBIRD:OBS1932579646,Common Loon,no species,no species,no interaction,no interaction,no species,no species,"Large, dark-backed divers with sharp elongated beaks, low profile. White upper breast visible at waterline. Feeding together west of marina.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1912499492,Gadwall,mallards,mallards,facilitation-mixed flocking,facilitation-mixed flocking,Mallard,Mallard,"Male and females feeding in scrub close to path, mixed in with mallards. Visible with binoculars and naked eye",1
URN:CornellLabOfOrnithology:EBIRD:OBS1883708794,King Eider,long-tailed ducks,long-tailed ducks,facilitation-mixed flocking,co-occur,Long-tailed Duck,Long-tailed Duck,"Continuing female found by Brian Beauchene yesterday. Diving duck (did see diving) is mottled brown and black overall. Head was a bit lighter brown, whitish over eye and bill is black. Was seen at a distance with scope required; was with Long-tailed ducks past the green buoy. Distance was too far for any kind of doc pics.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1611908537,Long-tailed Duck,goldeneyes,goldeneyes,facilitation-mixed flocking,co-occur,Common Goldeneye,Common Goldeneye,off cell 3 with goldeneyes,0
URN:CornellLabOfOrnithology:EBIRD:OBS1873651585,Dunlin,no species,no species,no interaction,no interaction,no species,no species,Flock at Point Rosa.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1923037457,Greater White-fronted Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Shout-out to Bobby Irwin for finding three Greater White-fronted Geese in the Huron River next to Riverside Park in Gibraltar. The park is located just north of Pt. Mouillee SGA and Siegler Rd. on the Huron River.--I arrived just before 10 am and found the three geese out in the river among dozens of Canada Geese. These are presumed to be the same 3 birds reported in the Humphries Unit for several weeks now. In fact, after about 5 minutes they flew back toward Pt. Mouillee.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1932621490,American Goldfinch,"pine siskins, house finches","pine siskins, house finches",facilitation-mixed flocking,facilitation-mixed flocking,"Pine Siskin, House Finch","Pine Siskin, House Finch",This is not a double count. I have unbelievable amounts of American Goldfinches mixed with Pine Siskins and House Finches.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1885183090,Ring-necked Duck,bald eagle,bald eagle,predation,predation,Bald Eagle,Bald Eagle,Flock was in Canadian Lakes. Bald eagle was hunting them over head as well.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1623011011,Fox Sparrow,no species,no species,no interaction,no interaction,no species,no species,Continuing. Both under feeders.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1920801470,European Starling,robins,robins,facilitation-mixed flocking,facilitation-mixed flocking,American Robin,American Robin,Approximately. Flocking near/with robins,1
URN:CornellLabOfOrnithology:EBIRD:OBS1968559426,Snow Goose,canadian geese,canadian geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,1 snow goose hanging out with a group of Canadian Geese.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1890682689,Ovenbird,"lincoln⊙s, white-throateds","lincoln's, white-throateds",facilitation-feeding,facilitation-feeding,"Lincoln's Sparrow, White-throated Sparrow","Lincoln's Sparrow, White-throated Sparrow","Continuing, robust warbler who was brown above with a white belly with black speckle striping below, unique crown and facial pattern, white eyering. Eating pita bread with Lincoln’s and White-throateds.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1621564789,Brown-headed Cowbird,starlings,starlings,facilitation-feeding,facilitation-feeding,European Starling,European Starling,Continuing… Blackbird. Distinct brown head with black body. Came it with a flock of starlings to eat on the ground below the feeders.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1924874085,American Robin,no species,no species,no interaction,no interaction,no species,no species,Both in crabapple tree just outside of the Oryana Coop.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1912538584,Yellow-bellied Sapsucker,downy woodpecker,downy woodpecker,co-occur,co-occur,Downy Woodpecker,Downy Woodpecker,"I have a very bad photo. Brown and black speckled back, clearly visible red head, behaving exactly as I would expect a woodpecker to behave. Bigger than downy woodpecker seen on same tree.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1603116256,Cackling Goose,no species,no species,no interaction,no interaction,no species,no species,Continuing. Mallard size. Swimming together.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1904247038,Rusty Blackbird,robins,robins,facilitation-mixed flocking,facilitation-mixed flocking,American Robin,American Robin,"Pics with robins (42.0807461, -83.2007654)",1
URN:CornellLabOfOrnithology:EBIRD:OBS1868507247,Redhead,"ring-necks, buffleheads","ring-necks, buffleheads",facilitation-mixed flocking,facilitation-mixed flocking,"Ring-necked Duck, Bufflehead","Ring-necked Duck, Bufflehead",1 male in mixed flock of ring-necks and buffleheads,1
URN:CornellLabOfOrnithology:EBIRD:OBS1928400213,Lesser Scaup,grsc,grsc,co-occur,co-occur,Greater Scaup,Greater Scaup,"At least 4 males. Peaked head, compared in direct comparison to GRSC",1
URN:CornellLabOfOrnithology:EBIRD:OBS1639629616,Brown-headed Cowbird,"starlings, grackles, red-winged blackbird","starlings, grackles, red-winged blackbirds",facilitation-mixed flocking,facilitation-mixed flocking,"European Starling, Common Grackle, Red-winged Blackbird","European Starling, Common Grackle, Red-winged Blackbird","Mixed flock, mostly Cowbirds, some Starlings, a few Grackles and Red-Winged Blackbirds.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1927798132,Bald Eagle,"blue jay, cooper's hawk",cooper's hawk,co-occur,co-occur,"Blue Jay, Cooper's Hawk",Cooper's Hawk,"Attention was drawn to a Blue Jay calling overhead and when I looked up it was being chased by the Cooper's Hawk. Much higher up, I saw the Bald Eagle after seeing the COHA. BAEA was a long-overdue new yard bird!",1
URN:CornellLabOfOrnithology:EBIRD:OBS1613721231,Peregrine Falcon,rock pigeon,rock pigeons,predation,predation,Rock Pigeon,Rock Pigeon,"Sleek falcon with gray back and long pointed wigs. Flew south from Shoreline inn area, past Pigeon Hill brewery, and then chased a flock of rock pigeons south",1
URN:CornellLabOfOrnithology:EBIRD:OBS1728894840,American Goldfinch,house finch,house finches,facilitation-feeding,facilitation-feeding,House Finch,House Finch,Arrived to feed along with house finches.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1611783939,Cackling Goose,canada,canada flocks,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,At least 1 id’ed in large Canada flocks. Short neck with stubby bill seen on through scope.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1637643942,Lapland Longspur,horned lark,horned larks,facilitation-mixed flocking,facilitation-mixed flocking,Horned Lark,Horned Lark,"Sparrow like bird with unique facial pattern of Longspur, in large farm field with a few Horned Larks.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1887119042,Snow Goose,canada geese,canada geese,co-occur,co-occur,Canada Goose,Canada Goose,"White goose, smaller than nearby Canada Geese, with black wing tiips, pink bill.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1918298361,American Wigeon,swans,swans,facilitation-mixed flocking,co-occur,swan sp.,swan sp.,Duck among the swans. Unmistakable cream stripes on head,0
URN:CornellLabOfOrnithology:EBIRD:OBS1602165385,Brown-headed Cowbird,starlings,starlings,facilitation-mixed flocking,facilitation-mixed flocking,European Starling,European Starling,"Mixed in a larger flock of Starlings. I counted 25 males and a few females. Males black with brown heads, females more uniformly brownish gray. I’m sure there were more but Patterson traffic didn’t allow more counting time.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1917764459,Snow Goose,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,Continuing white phase bird that has been in the vicinity. Flew in with a small group of Canada Geese. It stayed for ~20 minutes and then departed with a flock of CANG.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1869221345,Brant,canada geese,canada geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"South of pier parking area, just south of where beach ends. Could be seen from concrete walkway swimming with flock of Canada Geese close to shore. Photos included.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1902129204,Song Sparrow,no species,no species,no interaction,no interaction,no species,no species,Seen together in former lakebed of Wixom Lake,1
URN:CornellLabOfOrnithology:EBIRD:OBS1895858831,Glaucous Gull,"herring, ring billed gulls","herring, ring billed gulls",facilitation-mixed flocking,facilitation-mixed flocking,"American Herring Gull, Ring-billed Gull","American Herring Gull, Ring-billed Gull",Observed mixed in with Herring and ring billed gulls near the landfill area,1
URN:CornellLabOfOrnithology:EBIRD:OBS1924368733,Red-winged Blackbird,"house sparrows, juncos, trees sparrows, finches","house sparrows, juncos, trees sparrows, finches",facilitation-feeding,facilitation-feeding,"House Sparrow, Dark-eyed Junco, American Tree Sparrow, House Finch","House Sparrow, Dark-eyed Junco, American Tree Sparrow, House Finch","Blackbird spent the morning taking seeds below a sunflower seed feeder with house sparrows, juncos, trees sparrows, finches, etc.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1599548895,American Crow,bird,owl,mobbing,mobbing,bird sp.,owl sp.,"Group of at least 4 mobbing some bird within an evergreen tree, well off of trail. Never got good look at mobbed bird but guessing an owl. Crows chased it to at least 2 other spots where bird landed for a bit/mobbing continued but I never caught up to bird/crows again, though I tried; only heard them for some minutes",1
URN:CornellLabOfOrnithology:EBIRD:OBS1912589170,Tundra Swan,"mute, trumpeters","mute, trumpeters",co-occur,co-occur,"Mute Swan, Trumpeter Swan","Mute Swan, Trumpeter Swan",All young birds with mostly pink bills except for small dark spots at tips and bases of bill. They were smaller than nearby Mute and Trumpeters.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1897701356,Snow Goose,canadian geese,canadian geese,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,It was hanging out with a flock of Canadian geese,1
URN:CornellLabOfOrnithology:EBIRD:OBS1634070456,Dark-eyed Junco,no species,no species,no interaction,no interaction,no species,no species,"Together on ground, pecking around driveway dirt",1
URN:CornellLabOfOrnithology:EBIRD:OBS1899072050,Common Grackle,e. starlings,e. starlings,facilitation-feeding,facilitation-feeding,European Starling,European Starling,"Continuing. Foraging with flock of E. starlings, much larger, blacker and with a much longer tail.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1915415259,Hooded Merganser,"mergansers, mallards","mergansers, mallards",facilitation-mixed flocking,facilitation-mixed flocking,"merganser sp., Mallard","merganser sp., Mallard",Large number of males and females swimming amongst other mergansers and mallards,1
URN:CornellLabOfOrnithology:EBIRD:OBS1933542816,Black Scoter,white winged scoters,white winged scoters,co-occur,co-occur,White-winged Scoter,White-winged Scoter,"Male, all black with an orange knob visible, differentiating it from white winged scoters it was near. No white on back of neck or forehead to void a surf scoter.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1912317250,Sharp-shinned Hawk,brcr,brcr,predation,predation,Brown Creeper,Brown Creeper,"Small adult Accip in hot pursuit of BRCR, seen perched showing dark nape",1
URN:CornellLabOfOrnithology:EBIRD:OBS1598725146,Evening Grosbeak,no species,no species,no interaction,no interaction,no species,no species,All in view in trees at the same time. Likely more on the feeders.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1619432448,Eastern Meadowlark,horned lark,horned larks,facilitation-mixed flocking,facilitation-mixed flocking,Horned Lark,Horned Lark,"Many flocks of Horned Larks were flushing from the roadside all along Squawfield Road, stopped occasionally to examine a few of them. A group of 17 just east of the corner of Squawfield and Coman had a meadowlark with them, viewed with bins through windshield, would have left at sp. level but it gave Eastern call as it flushed and flew out of sight behind tall vegetation on the south side of the road.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1631530573,Lapland Longspur,hola,hola,facilitation-mixed flocking,facilitation-mixed flocking,Horned Lark,Horned Lark,"In with HOLA on Badour north of Kent right where the road turns to dirt. Slightly smaller, darker overall, lacking ""horned"" look, rattle call in flight.--Possibly a second heard rattling in flight on Kent east of Badour with a group of HOLA, but can't say for certain it was even a LALO, let alone a separate individual.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1869114817,Purple Finch,house finch,house finches,co-occur,co-occur,House Finch,House Finch,"A female with distinctive white eyebrow, sharply defined side markings. Extensive coloring of males on head and back with minimal or no side striping. Compared these with House Finches also onsite.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1914352160,Ruffed Grouse,modos,modos,facilitation-feeding,facilitation-feeding,Mourning Dove,Mourning Dove,"Foraging with MODOs at break of dawn, everyone congregating under front feeders",1
URN:CornellLabOfOrnithology:EBIRD:OBS1639192373,Sharp-shinned Hawk,birds,birds,predation,predation,bird sp.,bird sp.,"Small hawk, size of MODO, hunting birds at feeder. Squared off tail.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1916393303,Cackling Goose,cagos,cagos,co-occur,facilitation-mixed flocking,Canada Goose,Canada Goose,"Small, short-necked w/ stubby bills. Associating closely together among CAGOs. Photos.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1594819698,Common Grackle,"starlings, dove","starlings, dove",facilitation-mixed flocking,facilitation-mixed flocking,"European Starling, Mourning Dove","European Starling, Mourning Dove",In tops of trees with starlings and dove. Long tail was evident. Clearly different silhouette from starlings. Previously seen in neighborhood.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1607991791,Brown-headed Cowbird,rwbl,rwbl,facilitation-mixed flocking,facilitation-mixed flocking,Red-winged Blackbird,Red-winged Blackbird,Minimum. Counted individual as the flock fed on the ground before it was joined by the RWBL flock at the DNR parking lot.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1930338106,Sharp-shinned Hawk,songbirds,songbirds,predation,predation,songbird sp.,songbird sp.,"Smaller hawk swooping in to catch small songbirds at bird feeders, squared off narrow banded tail, white underbelly with rust plumage and gray body. Wings appeared rounded when in flight, also observed perched in tree.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1639969393,Hairy Woodpecker,downies,downies,facilitation-feeding,co-occur,Downy Woodpecker,Downy Woodpecker,"Flew in to feeder & stayed about 5 minutes eatng. then flew off. longer, more pointed beak than the downies also at feeder.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1912731382,Short-eared Owl,harrier,harrier,co-occur,facilitation-distress calls,Northern Harrier,Northern Harrier,"Continuing. Medium sized owls, brownish, streaky and buffy undersides. Popped up briefly when harrier flew over them",0
URN:CornellLabOfOrnithology:EBIRD:OBS1891489235,Iceland Gull,herrings,herrings,co-occur,co-occur,American Herring Gull,American Herring Gull,"*Rare. Crisp first cycle without any signs of preformative molt viewed well in scope with good lighting. Slightly smaller and smaller-billed than surrounding Herrings, although not a very pronounced difference, probably a male. Fairly dark chocolate brown overall with broad white edging on the scapulars. Bill entirely black. Folded wingtips dark brown, darker than body but not black. Tertials with dark centers, not checkered as in Kumlien’s. Never got a look at the spread wing, but nothing about this bird suggested Kumlien’s over Thayer’s. Photos",1
URN:CornellLabOfOrnithology:EBIRD:OBS1617628015,Black Scoter,common goldeneye,common goldeneyes,facilitation-mixed flocking,facilitation-mixed flocking,Common Goldeneye,Common Goldeneye,Female. Has dark brown cap and pale cheek with small and straight bill compared to other scoters. Hanging with a group of common goldeneyes in Ford Lake. Will post photos.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1869058599,Greater Yellowlegs,leye,leye,facilitation-mixed flocking,facilitation-mixed flocking,Lesser Yellowlegs,Lesser Yellowlegs,Together along with a LEYE.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1603613378,Cedar Waxwing,"bohemian waxwings, starlings","bohemian waxwings, starlings",facilitation-mixed flocking,facilitation-mixed flocking,"European Starling, Bohemian Waxwing","European Starling, Bohemian Waxwing","Low estimate. Cinnamon colored birds, black facial mask, crest, white/red markings on wings. Smaller than Bohemian Waxwings and Starlings that were in the flock.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1618239414,White-throated Sparrow,"house sparrows, cardinals","house sparrows, cardinals",facilitation-feeding,facilitation-feeding,"Northern Cardinal, House Sparrow","Northern Cardinal, House Sparrow","One with whiter stripe, the other more subtle. Pics. Feeding on sunflower seeds below feeder with house sparrows and cardinals.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1643631270,Harlequin Duck,lesser scaup,lesser scaup,co-occur,co-occur,Lesser Scaup,Lesser Scaup,"As found by Bill Nolting and Donna Parmalee. Not all of its adult/breeding plumage yet, but white dot on face and several stripes nobody- was initially with 3 lesser scaup then flew to the east side of the park/lake. Not leaving right away- swimming and diving. Other birders also following. Too much rain for me- I am soaked!",1
URN:CornellLabOfOrnithology:EBIRD:OBS1935935643,Ring-necked Duck,canadian geese,canadian geese,facilitation-mixed flocking,co-occur,Canada Goose,Canada Goose,I observed 1 male Ring-necked duck swimming among the Canadian Geese.,0
URN:CornellLabOfOrnithology:EBIRD:OBS1641898699,Common Grackle,blackbirds,blackbirds,facilitation-mixed flocking,facilitation-mixed flocking,Red-winged Blackbird,Red-winged Blackbird,Flying over in mixed flocks of blackbirds. Tail shape and blue-black heads evident.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1905808266,American Kestrel,no species,kestrel,no interaction,aggression,no species,American Kestrel,"One flew at perched kestrel, they locked talons and plummeted into a thicket, then gave a bit more chase before going separate ways",0
URN:CornellLabOfOrnithology:EBIRD:OBS1920730279,Yellow-rumped Warbler,chickadees,chickadees,facilitation-mixed flocking,facilitation-mixed flocking,Black-capped Chickadee,Black-capped Chickadee,Mixed foraging flock with chickadees seen in the tree stands by the crew team parking lot.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1607139027,Golden Eagle,red-tailed hawk,red-tailed hawks,facilitation-mixed flocking,facilitation-mixed flocking,Red-tailed Hawk,Red-tailed Hawk,"Immature Golden Eagle soaring with two Red-tailed Hawks. Huge dark brown bird with dihedral, isolated large white patch in each underwing , and a pale base to the tail (giving the bird the look of having a wide dark tail band).",1
URN:CornellLabOfOrnithology:EBIRD:OBS1628842838,Bohemian Waxwing,waxwings,waxwings,facilitation-mixed flocking,facilitation-mixed flocking,Cedar Waxwing,Cedar Waxwing,"Large flock of mixed Waxwings, the vast majority were Bohemian. Estimated total, was probably more.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1599613372,Long-tailed Duck,goldeneyes,goldeneyes,facilitation-mixed flocking,facilitation-mixed flocking,Common Goldeneye,Common Goldeneye,Photo to follow. Flew in with Goldeneyes. Better viewing from end of Hilltop Court just south of Nottingham Park,1
URN:CornellLabOfOrnithology:EBIRD:OBS1596870001,Great Black-backed Gull,rbgu,rbgu,co-occur,co-occur,Ring-billed Gull,Ring-billed Gull,Floating in water south of pier. Huge in comparison to nearby RBGU.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1917045206,Ruffed Grouse,modos,modos,facilitation-feeding,facilitation-feeding,Mourning Dove,Mourning Dove,Morning routine of foraging w/MODOs…predawn,1
URN:CornellLabOfOrnithology:EBIRD:OBS1913459031,Cackling Goose,cang,cang,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Continuing. Much smaller than the CANG they were associating with. Short body, neck and stubby bill.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1607173024,Field Sparrow,atsp,atsp,facilitation-mixed flocking,facilitation-mixed flocking,American Tree Sparrow,American Tree Sparrow,"Pink bill, plain breast, eye ring, gray facial pattern. Mixed in with a good sized flock of ATSP on the muddy remnants of Oakway Trail.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1892126452,Surf Scoter,bufflehead,buffleheads,co-occur,co-occur,Bufflehead,Bufflehead,"Continuing from 2 weeks ago? 2 female types swimming near Buffleheads. Large dark ducks, blocky heads, large sloping bills, white patches on side of face and head, no white in wings.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1621146992,Green-winged Teal,"mallard, gadwall","mallards, gadwall",facilitation-mixed flocking,facilitation-mixed flocking,"Mallard, Gadwall","Mallard, Gadwall","Male, swimming with Mallards and Gadwall",1
URN:CornellLabOfOrnithology:EBIRD:OBS1938679732,Pine Siskin,american goldfinch,american goldfinches,facilitation-feeding,facilitation-mixed flocking,American Goldfinch,American Goldfinch,"There are many individuals who come and go. They have been wiping out my sunflower seed on a daily basis. They are flocked with American goldfinches. When I walk the dogs, I see and hear quite a few flocks throughout the neighborhoods on the Bluff.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1602487221,American Crow,red-tailed hawk,red-tailed hawk,mobbing,mobbing,Red-tailed Hawk,Red-tailed Hawk,Pair mobbing a Red-tailed Hawk.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1627743332,Cackling Goose,canadas,canadas,co-occur,co-occur,Canada Goose,Canada Goose,Continuing small geese with short necks and bills compared to nearby Canadas.,1
URN:CornellLabOfOrnithology:EBIRD:OBS1626414670,Mallard,no species,no species,no interaction,no interaction,no species,no species,Estimate counting by 10s,1
URN:CornellLabOfOrnithology:EBIRD:OBS1882967144,White-rumped Sandpiper,dunlin,dunlin,facilitation-feeding,facilitation-feeding,Dunlin,Dunlin,Foraging at the end of the pier with flock of Dunlin,1
URN:CornellLabOfOrnithology:EBIRD:OBS1876902772,Black-crowned Night Heron,limpkin,limpkin,co-occur,co-occur,Limpkin,Limpkin,"Continuing by canoe dock. Observed sleeping to the right of the Limpkin. See photo. (42.2402082, -84.7401999)",1
URN:CornellLabOfOrnithology:EBIRD:OBS1867478295,Brant,canadas,canadas,facilitation-mixed flocking,facilitation-mixed flocking,Canada Goose,Canada Goose,"Continuing very far north of pier, swimming alone until flushed and then it returned to the area of the large flock of Canadas. Distant video through the scope.",1
URN:CornellLabOfOrnithology:EBIRD:OBS1647580512,Common Raven,crows,crows,aggression,mobbing,American Crow,American Crow,"Flyby. Heard call, then seen. Identified by voice. Initially being pursued by group of crows (5+), but they soon gave up the chase.",0
URN:CornellLabOfOrnithology:EBIRD:OBS1631622340,Gadwall,eagles,"eagles, waterfowl",amensalism,co-occur,Bald Eagle,Bald Eagle,Identification made with assistance of Merlin bird ID; looked like a small group that was spooked up by the juvenile eagles alongside other waterfowl,0
URN:CornellLabOfOrnithology:EBIRD:OBS1910716096,Cackling Goose,cang,cang,co-occur,co-occur,Canada Goose,Canada Goose,"5 mallard sized geese next to a single CANG making it very see the size difference, short necks and stubby bills",1
