species1_common,species2_common,multispecies,interaction,uncertain_descriptio,global_unique_identifier,uncertain_description,common_name,species_comments
Greater White-fronted Goose,CANG,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1870131848,,Greater White-fronted Goose,"Continuing, seen in complex with CANG.  Dark brown head and neck, large orange bill and vertical white stripe in front of eyes.  Black spots on belly."
Bald Eagle,Mallards,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1605558190,,Bald Eagle,Swooped down on Mallards.
American Crow,Red tailed Hawk,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1892029446,,American Crow,Harassing Red tailed Hawk
Common Loon,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1932579646,,Common Loon,"Large, dark-backed divers with sharp elongated beaks, low profile. White upper breast visible at waterline. Feeding together west of marina."
Gadwall,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1912499492,,Gadwall,"Male and females feeding in scrub close to path, mixed in with mallards. Visible with binoculars and naked eye"
King Eider,Long-tailed ducks,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1883708794,,King Eider,"Continuing female found by Brian Beauchene yesterday. Diving duck (did see diving) is mottled brown and black overall. Head was a bit lighter brown, whitish over eye and bill is black.  Was seen at a distance with scope required; was with Long-tailed ducks past the green buoy.  Distance was too far for any kind of doc pics."
Long-tailed Duck,goldeneyes,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1611908537,,Long-tailed Duck,off cell 3 with goldeneyes
Dunlin,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1873651585,,Dunlin,Flock at Point Rosa.
Greater White-fronted Goose,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1923037457,,Greater White-fronted Goose,"Shout-out to Bobby Irwin for finding three Greater White-fronted Geese in the Huron River next to Riverside Park in Gibraltar. The park is located just north of Pt. Mouillee SGA and Siegler Rd. on the Huron River.--I arrived just before 10 am and found the three geese out in the river among dozens of Canada Geese. These are presumed to be the same 3 birds reported in the Humphries Unit for several weeks now. In fact, after about 5 minutes they flew back toward Pt. Mouillee."
American Goldfinch,"Pine Siskins, House Finches",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1932621490,,American Goldfinch,This is not a double count. I have unbelievable amounts of American Goldfinches mixed with Pine Siskins and House Finches.
Ring-necked Duck,Bald eagle,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1885183090,,Ring-necked Duck,Flock was in Canadian Lakes.  Bald eagle was hunting them over head as well.
Fox Sparrow,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1623011011,,Fox Sparrow,Continuing. Both under feeders.
European Starling,robins,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1920801470,,European Starling,Approximately. Flocking near/with robins
Snow Goose,Canadian Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1968559426,,Snow Goose,1 snow goose hanging out with a group of Canadian Geese.
Ovenbird," Lincoln‚Äôs, White-throateds",TRUE,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1890682689,,Ovenbird,"Continuing, robust warbler who was brown above with a white belly with black speckle striping below, unique crown and facial pattern, white eyering. Eating pita bread with Lincoln’s and White-throateds."
Brown-headed Cowbird,starlings,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1621564789,,Brown-headed Cowbird,Continuing… Blackbird. Distinct brown head with black body. Came it with a flock of starlings to eat on the ground below the feeders.
American Robin,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1924874085,,American Robin,Both in crabapple tree just outside of the Oryana Coop.
Yellow-bellied Sapsucker,downy woodpecker,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1912538584,,Yellow-bellied Sapsucker,"I have a very bad photo. Brown and black speckled back, clearly visible red head, behaving exactly as I would expect a woodpecker to behave. Bigger than downy woodpecker seen on same tree."
Cackling Goose,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1603116256,,Cackling Goose,Continuing. Mallard size. Swimming together.
Rusty Blackbird,robins,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1904247038,,Rusty Blackbird,"Pics with robins (42.0807461, -83.2007654)"
Redhead,"ring-necks, buffleheads",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1868507247,,Redhead,1 male in mixed flock of ring-necks and buffleheads
Lesser Scaup,GRSC,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1928400213,,Lesser Scaup,"At least 4 males.  Peaked head, compared in direct comparison to GRSC"
Brown-headed Cowbird,"Starlings, Grackles, Red-winged Blackbird",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1639629616,,Brown-headed Cowbird,"Mixed flock, mostly Cowbirds, some Starlings, a few Grackles and Red-Winged Blackbirds."
Bald Eagle,"Blue Jay, Cooper's Hawk",TRUE,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1927798132,,Bald Eagle,"Attention was drawn to a Blue Jay calling overhead and when I looked up it was being chased by the Cooper's Hawk. Much higher up, I saw the Bald Eagle after seeing the COHA. BAEA was a long-overdue new yard bird!"
Peregrine Falcon,Rock Pigeon,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1613721231,,Peregrine Falcon,"Sleek falcon with gray back and long pointed wigs. Flew south from Shoreline inn area, past Pigeon Hill brewery, and then chased a flock of rock pigeons south"
American Goldfinch,House Finch,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1728894840,,American Goldfinch,Arrived to feed along with house finches.
Cackling Goose,Canada,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1611783939,,Cackling Goose,At least 1 id’ed in large Canada flocks. Short neck with stubby bill seen on through scope.
Lapland Longspur,Horned Lark,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1637643942,,Lapland Longspur,"Sparrow like bird with unique facial pattern of Longspur, in large farm field with a few Horned Larks."
Snow Goose,Canada Geese,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1887119042,,Snow Goose,"White goose, smaller than nearby Canada Geese, with black wing tiips, pink bill."
American Wigeon,Swans,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1918298361,,American Wigeon,Duck among the swans. Unmistakable cream stripes on head
Brown-headed Cowbird,Starlings,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1602165385,,Brown-headed Cowbird,"Mixed in a larger flock of Starlings.  I counted 25 males and a few females.  Males black with brown heads, females more uniformly brownish gray.  I’m sure there were more but Patterson traffic didn’t allow more counting time."
Snow Goose,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1917764459,,Snow Goose,Continuing white phase bird that has been in the vicinity. Flew in with a small group of Canada Geese. It stayed for ~20 minutes and then departed with a flock of CANG.
Brant,Canada Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1869221345,,Brant,"South of pier parking area, just south of where beach ends. Could be seen from concrete walkway swimming with flock of Canada Geese close to shore. Photos included."
Song Sparrow,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1902129204,,Song Sparrow,Seen together in former lakebed of Wixom Lake
Glaucous Gull,"Herring, ring billed gulls",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1895858831,,Glaucous Gull,Observed mixed in with Herring and ring billed gulls near the landfill area
Red-winged Blackbird,"house sparrows, juncos, trees sparrows, finches",yes,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1924368733,,Red-winged Blackbird,"Blackbird spent the morning taking seeds below a sunflower seed feeder with house sparrows, juncos, trees sparrows, finches, etc."
American Crow,bird,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1599548895,,American Crow,"Group of at least 4 mobbing some bird within an evergreen tree, well off of trail. Never got good look at mobbed bird but guessing an owl. Crows chased it to at least 2 other spots where bird landed for a bit/mobbing continued but I never caught up to bird/crows again, though I tried; only heard them for some minutes"
Tundra Swan,"Mute, Trumpeters",yes,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1912589170,,Tundra Swan,All young birds with mostly pink bills except for small dark spots at tips and bases of bill. They were smaller than nearby Mute and Trumpeters.
Snow Goose,Canadian geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1897701356,,Snow Goose,It was hanging out with a flock of Canadian geese
Dark-eyed Junco,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1634070456,,Dark-eyed Junco,"Together on ground, pecking around driveway dirt"
Common Grackle,E. starlings,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1899072050,,Common Grackle,"Continuing. Foraging with flock of E. starlings, much larger, blacker and with a much longer tail."
Hooded Merganser,"mergansers, mallards",yes,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1915415259,,Hooded Merganser,Large number of males and females swimming amongst other mergansers and mallards
Black Scoter,white winged scoters,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1933542816,,Black Scoter,"Male, all black with an orange knob visible, differentiating it from white winged scoters it was near. No white on back of neck or forehead to void a surf scoter."
Sharp-shinned Hawk,BRCR,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1912317250,,Sharp-shinned Hawk,"Small adult Accip in hot pursuit of BRCR, seen perched showing dark nape"
Evening Grosbeak,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1598725146,,Evening Grosbeak,All in view in trees at the same time. Likely more on the feeders.
Eastern Meadowlark,Horned Lark,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1619432448,,Eastern Meadowlark,"Many flocks of Horned Larks were flushing from the roadside all along Squawfield Road, stopped occasionally to examine a few of them. A group of 17 just east of the corner of Squawfield and Coman had a meadowlark with them, viewed with bins through windshield, would have left at sp. level but it gave Eastern call as it flushed and flew out of sight behind tall vegetation on the south side of the road."
Lapland Longspur,HOLA,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1631530573,,Lapland Longspur,"In with HOLA on Badour north of Kent right where the road turns to dirt. Slightly smaller, darker overall, lacking ""horned"" look, rattle call in flight.--Possibly a second heard rattling in flight on Kent east of Badour with a group of HOLA, but can't say for certain it was even a LALO, let alone a separate individual."
Purple Finch,House Finch,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1869114817,,Purple Finch,"A female with distinctive white eyebrow, sharply defined side markings. Extensive coloring of males on head and back with minimal or no side striping.  Compared these with House Finches also onsite."
Ruffed Grouse,MODOs,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1914352160,,Ruffed Grouse,"Foraging with MODOs at break of dawn, everyone congregating under front feeders"
Sharp-shinned Hawk,birds,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1639192373,,Sharp-shinned Hawk,"Small hawk, size of MODO, hunting birds at feeder. Squared off tail."
Cackling Goose,CAGOs,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1916393303,,Cackling Goose,"Small, short-necked w/ stubby bills. Associating closely together among CAGOs. Photos."
Common Grackle,"starlings, dove",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1594819698,,Common Grackle,In tops of trees with starlings and dove. Long tail was evident. Clearly different silhouette from starlings. Previously seen in neighborhood.
Brown-headed Cowbird,RWBL,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607991791,,Brown-headed Cowbird,Minimum. Counted individual as the flock fed on the ground before it was joined by the RWBL flock at the DNR parking lot.
Sharp-shinned Hawk,songbirds,,predation,,URN:CornellLabOfOrnithology:EBIRD:OBS1930338106,,Sharp-shinned Hawk,"Smaller hawk swooping in to catch small songbirds at bird feeders, squared off narrow banded tail, white underbelly with rust plumage and gray body. Wings appeared rounded when in flight, also observed perched in tree."
Hairy Woodpecker,downies,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1639969393,,Hairy Woodpecker,"Flew in to feeder & stayed about 5 minutes eatng. then flew off. longer, more pointed beak than the downies also at feeder."
Short-eared Owl,harrier,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1912731382,,Short-eared Owl,"Continuing.  Medium sized owls, brownish, streaky and buffy undersides.  Popped up briefly when harrier flew over them"
Iceland Gull,Herrings,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1891489235,,Iceland Gull,"*Rare. Crisp first cycle without any signs of preformative molt viewed well in scope with good lighting. Slightly smaller and smaller-billed than surrounding Herrings, although not a very pronounced difference, probably a male. Fairly dark chocolate brown overall with broad white edging on the scapulars. Bill entirely black. Folded wingtips dark brown, darker than body but not black. Tertials with dark centers, not checkered as in Kumlien’s. Never got a look at the spread wing, but nothing about this bird suggested Kumlien’s over Thayer’s. Photos"
Black Scoter,Common Goldeneye,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1617628015,,Black Scoter,Female. Has dark brown cap and pale cheek with small and straight bill compared to other scoters. Hanging with a group of common goldeneyes in Ford Lake. Will post photos.
Greater Yellowlegs,LEYE,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1869058599,,Greater Yellowlegs,Together along with a LEYE.
Cedar Waxwing,"Bohemian Waxwings, Starlings",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1603613378,,Cedar Waxwing,"Low estimate.  Cinnamon colored birds, black facial mask, crest, white/red markings on wings.  Smaller than Bohemian Waxwings and Starlings that were in the flock."
White-throated Sparrow,"House Sparrows, cardinals",TRUE,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1618239414,,White-throated Sparrow,"One with whiter stripe, the other more subtle. Pics. Feeding on sunflower seeds below feeder with house sparrows and cardinals."
Harlequin Duck,lesser scaup,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1643631270,,Harlequin Duck,"As found by Bill Nolting and Donna Parmalee. Not all of its adult/breeding plumage yet, but white dot on face and several stripes nobody- was initially with 3 lesser scaup then flew to the east side of the park/lake. Not leaving right away- swimming and diving. Other birders also following. Too much rain for me- I am soaked!"
Ring-necked Duck,Canadian Geese,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1935935643,,Ring-necked Duck,I observed 1 male Ring-necked duck swimming among the Canadian Geese.
Common Grackle,blackbirds,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1641898699,,Common Grackle,Flying over in mixed flocks of blackbirds. Tail shape and blue-black heads evident.
American Kestrel,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1905808266,,American Kestrel,"One flew at perched kestrel, they locked talons and plummeted into a thicket, then gave a bit more chase before going separate ways"
Yellow-rumped Warbler,chickadees,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1920730279,,Yellow-rumped Warbler,Mixed foraging flock with chickadees seen in the tree stands by the crew team parking lot.
Golden Eagle,Red-tailed Hawk,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607139027,,Golden Eagle,"Immature Golden Eagle soaring with two Red-tailed Hawks.  Huge dark brown bird with dihedral, isolated large white patch in each underwing , and a pale base to the tail (giving the bird the look of having a wide dark tail band)."
Bohemian Waxwing,waxwings,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1628842838,,Bohemian Waxwing,"Large flock of mixed Waxwings, the vast majority were Bohemian. Estimated total, was probably more."
Long-tailed Duck,Goldeneyes,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1599613372,,Long-tailed Duck,Photo to follow.  Flew in with Goldeneyes.  Better viewing from end of Hilltop Court just south of Nottingham Park
Great Black-backed Gull,RBGU,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1596870001,,Great Black-backed Gull,Floating in water south of pier. Huge in comparison to nearby RBGU.
Ruffed Grouse,MODOs,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1917045206,,Ruffed Grouse,Morning routine of foraging w/MODOs…predawn
Cackling Goose,CANG,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1913459031,,Cackling Goose,"Continuing.  Much smaller than the CANG they were associating with.  Short body, neck and stubby bill."
Field Sparrow,ATSP,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1607173024,,Field Sparrow,"Pink bill, plain breast, eye ring, gray facial pattern.  Mixed in with a good sized flock of ATSP on the muddy remnants of Oakway Trail."
Surf Scoter,Bufflehead,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1892126452,,Surf Scoter,"Continuing from 2 weeks ago? 2 female types swimming near Buffleheads. Large dark ducks, blocky heads, large sloping bills, white patches on side of face and head, no white in wings."
Green-winged Teal,"Mallard, Gadwall",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1621146992,,Green-winged Teal,"Male, swimming with Mallards and Gadwall"
Pine Siskin,American Goldfinch,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1938679732,,Pine Siskin,"There are many individuals who come and go.  They have been wiping out my sunflower seed on a daily basis.  They are flocked with American goldfinches.  When I walk the dogs, I see and hear quite a few flocks throughout the neighborhoods on the Bluff."
American Crow,Red-tailed Hawk,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1602487221,,American Crow,Pair mobbing a Red-tailed Hawk.
Cackling Goose,Canadas,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1627743332,,Cackling Goose,Continuing small geese with short necks and bills compared to nearby Canadas.
Mallard,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1626414670,,Mallard,Estimate counting by 10s
White-rumped Sandpiper,Dunlin,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1882967144,,White-rumped Sandpiper,Foraging at the end of the pier with flock of Dunlin
Black-crowned Night Heron,Limpkin,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1876902772,,Black-crowned Night Heron,"Continuing by canoe dock. Observed sleeping to the right of the Limpkin. See photo. (42.2402082, -84.7401999)"
Brant,Canadas,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1867478295,,Brant,"Continuing very far north of pier, swimming alone until flushed and then it returned to the area of the large flock of Canadas.  Distant video through the scope."
Common Raven,crows,,aggression,,URN:CornellLabOfOrnithology:EBIRD:OBS1647580512,,Common Raven,"Flyby. Heard call, then seen. Identified by voice. Initially being pursued by group of crows (5+), but they soon gave up the chase."
Gadwall,eagles,,amensalism,,URN:CornellLabOfOrnithology:EBIRD:OBS1631622340,,Gadwall,Identification made with assistance of Merlin bird ID; looked like a small group that was spooked up by the juvenile eagles alongside other waterfowl
Cackling Goose,CANG,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1910716096,,Cackling Goose,"5 mallard sized geese next to a single CANG making it very see the size difference, short necks and stubby bills"
Iceland Gull,Ring-billed Gull,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1914473032,,Iceland Gull,"Continuing. In flock with Ring-billed gulls on beach shore. Smaller, all white head, small bill, stout neck, light gray wings. Thank you Vikki Jones for this great find."
Brant,"mallards, green-winged teal, mute swans",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1877427772,,Brant,"In with mallards, green winged teal and mute swans. Small goose with black head, neck, bill, and breast with grayish sides and bright white rear. Continuing. Photo to come."
Snow Bunting,Northern Harrier,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1926310028,,Snow Bunting,Flying back and forth at the tree line on the north side of field west of Gotfredson. Two Northern Harriers were hunting in the same area.
Greater Scaup,"Lesser Scaup, Redhead, Canvasback",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1934233183,,Greater Scaup,"Estimated large mixed drift of ducks including Redhead, Canvasback Greater and Lesser Scaup."
Trumpeter Swan,Mute Swan,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1643580779,,Trumpeter Swan,"all black bills, no yellow- group was separate from a couple of mute swans"
Common Grackle,"red-wings, grackles, cowbirds",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1898744858,,Common Grackle,"came in a mixed flock of red-wings, grackles and mostly cowbirds; definitely grackles with males with purplish head, yellow eyes, long tails"
Long-tailed Duck,Common Goldeneye,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1608959350,,Long-tailed Duck,"Continuing - Originally in a small strip of open water off of Karen Court Park with 23 Common Goldeneyes, but flew towards the island in the center of the lake where there is more open water."
Red-winged Blackbird,Starlings,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1631589524,,Red-winged Blackbird,With large flock of Starlings. Careful count
Lesser Scaup,Redhead,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1636615011,,Lesser Scaup,"Scaup, with rather 'peaked in the rear' head shape. About 10% smaller than nearby Redheads"
Horned Lark,Snow Bunting,TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1931170460,,Horned Lark,W/snow buntings; both dispersed when a gray ghost showed up
Bonaparte's Gull,RBGU,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1925808012,,Bonaparte's Gull,This is a different individual than the BOGU that I noted yesterday which was a first winter gull.   Small gull with black spot on head.  Noticeable size difference with RBGU.
Horned Lark,,,no interaction,,URN:CornellLabOfOrnithology:EBIRD:OBS1877763109,,Horned Lark,"Together at the tip, unmistakable. Pics tba"
Red-shouldered Hawk,"crow, blue jay",TRUE,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS2281113634,,Red-shouldered Hawk,chase by a crow and blue jay
Eastern Bluebird,Dark-eyed Junco,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1621434561,,Eastern Bluebird,Foraging along creek with Juncos
Lapland Longspur,"HOLA, SNBU",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1616410587,,Lapland Longspur,"Counted individually, mixed in with a flock of HOLA and a few SNBU. Known to be at this location. First of the year!"
Redhead,mallards,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1896136620,,Redhead,Keeping close to a pair of mallards
Brown-headed Cowbird,starlings,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1628290881,,Brown-headed Cowbird,Near barn with starlings.  Pics.
Great Black-backed Gull,"Ring-billed, Herring gulls",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1920186243,,Great Black-backed Gull,A lone Great Black Backed Gull amongst 100's of Ring-billed and Herring gulls.
Cackling Goose,CAGO,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1613767961,,Cackling Goose,Continuing bird associating with large CAGO flock.
Bonaparte's Gull,Gadwall,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1866397689,,Bonaparte's Gull,Small gull with black patch behind eye and black wingtips. Circling and landing among Gadwall.
Ring-billed Gull,crows,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1636291449,,Ring-billed Gull,Landed briefly by Platt Rd fluddle among crows.
Lesser Black-backed Gull,Herring Gull,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1626234607,,Lesser Black-backed Gull,"Slightly smaller than Herring Gulls next to it, and with dark grey back, yellow legs. Please see photos."
American Crow,Red-tailed Hawk,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1644014715,,American Crow,flew off together very vocally just before Red-tailed Hawk flew through
Tufted Titmouse,"slate colored junco, House Finch",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1931255907,,Tufted Titmouse,"A spread out flock working its way Southward with individuals flying from tree to tree and on the ground along Kelly Creek for several minutes.  Was able to count individual birds as the flock slowly moved along.  About 20 birds including slate colored Junco, Tufted Titmouse, House Finch,"
Common Loon,RNGR,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1635958994,,Common Loon,Seen well with scopes. The two were traveling together. Much larger than the RNGRs with much larger bills.
Lapland Longspur,Horned Lark,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1634427569,,Lapland Longspur,"Associating with a small group of Horned Larks. Sparrow-like bird with dark outline on auriculars, a hint of black on the upper breast, and white on the outer rectrices. Distinctive rattle-like call was heard multiple times."
Short-eared Owl,Northern Harrier,,aggression,,URN:CornellLabOfOrnithology:EBIRD:OBS1901217740,,Short-eared Owl,"Continuing. Observed hunting fields, hunting/active flying observed from 9 and still continuing as I left at 10:00 AM. Brief conflict with Northern Harriers in field."
Eastern Screech-Owl,chickadees,,mobbing,,URN:CornellLabOfOrnithology:EBIRD:OBS1897419301,,Eastern Screech-Owl,Grey morph. Located by scolding chickadees
Common Merganser,Greater Scaup,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1634080385,,Common Merganser,"Arcadia lake, mixed in. With Greater Scaups. Mergansers are longer so it is hard to be sure."
Snow Goose,Canada Goose,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1910981864,,Snow Goose,Continuing; white goose stands out among the Canada geese
Brant,Mallard,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1879036464,,Brant,Continuing from Window on the Waterfront. Congregating with mallards.
Black-chinned Hummingbird,chickadees,,aggression-potential competition,,URN:CornellLabOfOrnithology:EBIRD:OBS1872801831,,Black-chinned Hummingbird,Continuing bird at expected location. Roosting over bird feeders and chasing chickadees.
Wood Duck,geese,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1643046052,,Wood Duck,Male wood duck swimming really close to the two geese. They don’t seem to be bothered by each other. Haven’t seen a wood duck since late summer or fall.
House Finch,"PUFI, AGOL",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1911157759,,House Finch,"Most I’ve ever seen together, huge groups with a handful of PUFI and AGOL mixed in"
Black Scoter,divers,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1866135751,,Black Scoter,Birds hanging out with other divers
Yellow-rumped Warbler,Eastern Bluebird,,co-occur,,URN:CornellLabOfOrnithology:EBIRD:OBS1613622761,,Yellow-rumped Warbler,Excellent view - yellow wash on sides and yellow rump. Hanging with two eastern bluebirds
Common Grackle,RWBL,,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1637200861,,Common Grackle,Quick stop in yard trees.  Traveling with RWBL.  Photo.
Downy Woodpecker,BLJAs,,competition,,URN:CornellLabOfOrnithology:EBIRD:OBS1919080600,,Downy Woodpecker,Foraging bark-butter dabs…repeatedly displaced by BLJAs; DOWOs retreat to forage circumfrences of surrounding maples & birches until BLJAs depart & then  return to dabs
Common Grackle,cowbirds,,facilitation-feeding,,URN:CornellLabOfOrnithology:EBIRD:OBS1923293450,,Common Grackle,At the feeders with the cowbirds this morning.
Surf Scoter,"redheads, scapus",TRUE,facilitation-mixed flocking,,URN:CornellLabOfOrnithology:EBIRD:OBS1903216632,,Surf Scoter,Continuing in raft of redheads and scaup. Same size as the redheads. Black duck with white cheek patch and erect tail feathers. Reported yesterday by T. Webb.
